Market_and_Exchange_Names,Report_Date,NonComm_Long,NonComm_Short,Open_Interest,Net
COCOA - ICE FUTURES U.S.,2009-08-18,33279,15959,122677,17320
COCOA - ICE FUTURES U.S.,2009-08-25,36253,17803,127401,18450
COCOA - ICE FUTURES U.S.,2009-09-01,35209,17439,128235,17770
COCOA - ICE FUTURES U.S.,2009-09-08,36666,18021,130912,18645
COCOA - ICE FUTURES U.S.,2009-09-15,40601,20783,140409,19818
COCOA - ICE FUTURES U.S.,2009-09-22,40362,21163,140297,19199
COCOA - ICE FUTURES U.S.,2009-09-29,40104,20228,140888,19876
COCOA - ICE FUTURES U.S.,2009-10-06,41338,21238,147392,20100
COCOA - ICE FUTURES U.S.,2009-10-13,38235,17963,146252,20272
COCOA - ICE FUTURES U.S.,2009-10-20,39196,21582,153267,17614
COCOA - ICE FUTURES U.S.,2009-10-27,38562,24300,160810,14262
COCOA - ICE FUTURES U.S.,2009-11-03,36990,22737,164689,14253
COCOA - ICE FUTURES U.S.,2009-11-09,35143,13538,138863,21605
COCOA - ICE FUTURES U.S.,2009-11-17,30301,11812,129755,18489
COCOA - ICE FUTURES U.S.,2009-11-24,34082,12444,131298,21638
COCOA - ICE FUTURES U.S.,2009-12-01,37045,11338,134173,25707
COCOA - ICE FUTURES U.S.,2009-12-08,38466,10935,135985,27531
COCOA - ICE FUTURES U.S.,2009-12-15,40486,11855,138663,28631
COCOA - ICE FUTURES U.S.,2009-12-22,38242,10957,139535,27285
COCOA - ICE FUTURES U.S.,2009-12-29,37539,10582,138563,26957
COCOA - ICE FUTURES U.S.,2010-01-05,34675,10361,139254,24314
COCOA - ICE FUTURES U.S.,2010-01-12,33199,11806,141550,21393
COCOA - ICE FUTURES U.S.,2010-01-19,37611,10473,149131,27138
COCOA - ICE FUTURES U.S.,2010-01-26,36138,5524,152570,30614
COCOA - ICE FUTURES U.S.,2010-02-02,35268,7215,148316,28053
COCOA - ICE FUTURES U.S.,2010-02-09,28724,9445,135580,19279
COCOA - ICE FUTURES U.S.,2010-02-16,26817,11264,132288,15553
COCOA - ICE FUTURES U.S.,2010-02-23,26167,10559,131183,15608
COCOA - ICE FUTURES U.S.,2010-03-02,26903,12953,135453,13950
COCOA - ICE FUTURES U.S.,2010-03-09,24000,15434,138437,8566
COCOA - ICE FUTURES U.S.,2010-03-16,26004,18342,141050,7662
COCOA - ICE FUTURES U.S.,2010-03-23,27324,17506,143622,9818
COCOA - ICE FUTURES U.S.,2010-03-30,28558,18201,146096,10357
COCOA - ICE FUTURES U.S.,2010-04-06,27950,18685,145507,9265
COCOA - ICE FUTURES U.S.,2010-04-13,29436,18284,130657,11152
