Market_and_Exchange_Names,Report_Date,NonComm_Long,NonComm_Short,Open_Interest,Net
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2020-12-21,79932,10898,511728,69034
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2020-12-29,83745,11380,481102,72365
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-01-05,81174,13894,486734,67280
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-01-12,80837,10507,499855,70330
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-01-19,75415,12889,490258,62526
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-01-26,69659,11830,483384,57829
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-02-02,64049,12424,483991,51625
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-02-09,66962,12475,497713,54487
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-02-16,63735,14730,497653,49005
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-02-23,66221,13088,464978,53133
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-03-02,64666,14232,461010,50434
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-03-09,65049,15293,471502,49756
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-03-16,63848,14828,477067,49020
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-03-23,60981,15275,472467,45706
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-03-30,63784,14402,470594,49382
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-04-06,59710,12479,476527,47231
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-04-13,52728,23073,477525,29655
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-04-20,52208,16753,477120,35455
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-04-27,54721,12132,459296,42589
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-05-04,56855,15229,457234,41626
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-05-11,68129,9472,489758,58657
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-05-18,51770,14609,467317,37161
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-05-25,43640,28845,456909,14795
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-06-01,39394,27192,457200,12202
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-06-08,41710,23155,463283,18555
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-06-15,37505,29198,468746,8307
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-06-22,37530,29859,464731,7671
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-06-29,34919,34218,431181,701
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-07-06,33585,28354,426916,5231
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-07-13,33459,32187,417092,1272
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-07-20,36404,28608,420801,7796
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-07-27,37082,30903,398615,6179
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-08-03,36018,34296,399064,1722
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-08-10,41485,31346,402359,10139
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-08-17,40337,26753,407639,13584
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-08-24,38223,32734,404589,5489
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-08-31,39842,41990,384278,-2148
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-09-07,40694,60773,398937,-20079
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-09-14,38342,62519,401560,-24177
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-09-21,35497,56552,406065,-21055
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-09-28,38965,56097,397196,-17132
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-10-05,36776,69543,444953,-32767
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-10-12,38111,76756,470906,-38645
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-10-19,39110,68966,490823,-29856
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-10-26,44400,60132,484541,-15732
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-11-02,49009,60338,492363,-11329
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-11-09,52466,52932,499172,-466
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-11-16,54530,28506,519884,26024
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-11-23,56342,20481,497835,35861
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-11-30,45426,25626,430317,19800
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-12-07,39102,30378,418151,8724
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-12-14,54677,24452,434693,30225
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-12-21,59701,18278,452464,41423
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2021-12-28,68958,17160,430303,51798
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-01-04,76386,19420,436279,56966
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-01-11,74666,19890,454258,54776
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-01-18,67102,26774,458623,40328
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-01-25,60106,21997,451424,38109
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-02-01,71680,18024,478164,53656
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-02-08,80076,20141,510347,59935
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-02-15,79870,17935,524560,61935
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-02-22,80595,17562,489168,63033
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-03-01,78572,15024,452265,63548
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-03-08,79171,11841,439326,67330
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-03-15,83160,9823,447497,73337
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-03-22,82898,11955,457776,70943
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-03-29,79190,13998,455338,65192
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-04-05,81398,11241,460780,70157
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-04-12,77241,13765,461136,63476
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-04-19,82663,12200,466468,70463
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-04-26,79039,14765,424438,64274
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-05-03,69301,19614,410282,49687
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-05-10,58569,25452,409858,33117
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-05-17,50791,27768,413267,23023
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-05-24,53889,18314,405915,35575
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-05-31,56028,23512,418915,32516
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-06-07,57486,16142,429842,41344
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-06-14,55043,17682,435560,37361
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-06-21,58449,16268,456803,42181
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-06-28,55257,13194,430815,42063
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-07-05,58590,16077,435036,42513
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-07-12,60401,11392,440090,49009
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-07-19,62668,13435,444043,49233
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-07-26,70140,11949,438045,58191
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-08-02,68418,10346,443344,58072
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-08-09,74145,11479,455180,62666
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-08-16,75353,15064,462717,60289
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-08-23,82516,10562,474763,71954
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-08-30,79541,11647,435028,67894
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-09-06,77489,19859,431875,57630
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-09-13,81840,14185,428745,67655
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-09-20,92145,11957,445424,80188
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-09-27,85041,14204,422486,70837
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-10-04,78583,17329,401198,61254
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-10-11,73085,19833,403425,53252
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-10-18,72775,18333,414496,54442
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-10-25,83758,13753,426681,70005
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-11-01,86520,16237,435093,70283
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-11-08,85356,16098,453467,69258
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-11-15,71358,19983,440919,51375
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-11-22,70985,20944,433521,50041
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-11-29,71213,19986,394594,51227
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-12-06,89264,17673,427153,71591
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-12-13,96751,11264,438398,85487
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-12-20,102807,10626,453264,92181
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2022-12-27,109578,11619,435113,97959
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-01-03,119747,12880,445612,106867
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-01-10,121893,13885,454472,108008
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-01-17,130072,13293,463876,116779
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-01-24,119820,17376,470373,102444
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-01-31,123066,15291,477982,107775
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-02-07,127240,16288,488770,110952
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-02-14,135848,12684,512704,123164
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-02-21,138841,11976,517351,126865
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-02-28,128904,17018,462185,111886
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-03-07,149368,17494,496776,131874
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-03-14,131620,20513,489810,111107
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-03-21,111854,22629,481613,89225
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-03-28,93794,23872,466859,69922
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-04-04,95290,23545,487963,71745
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-04-11,96112,20870,485932,75242
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-04-18,105776,22280,504548,83496
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-04-25,91668,27927,482573,63741
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-05-02,68798,28554,473433,40244
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-05-09,71121,29940,501524,41181
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-05-16,85443,21590,519702,63853
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-05-23,84421,25650,539152,58771
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-05-30,71065,25471,538779,45594
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-06-06,77232,25133,551768,52099
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-06-13,76999,27223,575837,49776
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-06-20,76477,20701,569348,55776
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-06-27,70046,19451,532054,50595
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-07-03,68605,19129,523338,49476
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-07-11,68486,16195,525326,52291
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-07-18,69995,17438,541989,52557
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-07-25,79026,18172,541425,60854
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-08-01,80138,20453,538487,59685
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-08-08,72143,16886,538178,55257
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-08-15,61469,21387,536935,40082
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-08-22,58455,24118,520657,34337
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-08-29,68658,15657,502621,53001
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-09-05,61922,17556,494519,44366
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-09-12,60522,20857,500943,39665
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-09-19,55022,14880,506396,40142
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-09-26,58743,19183,508091,39560
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-10-03,55706,35601,515598,20105
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-10-10,52804,40101,511785,12703
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-10-17,63157,32237,540196,30920
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-10-24,77534,21286,568594,56248
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-10-31,89963,24295,588359,65668
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-11-07,93222,22853,609640,70369
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-11-14,109844,21730,646145,88114
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-11-21,116143,25061,671039,91082
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-11-28,117317,32530,617529,84787
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-12-05,108245,35237,594283,73008
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-12-12,89892,39997,565774,49895
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-12-19,78941,46948,564236,31993
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2023-12-26,70758,55519,508260,15239
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-01-02,65012,68671,489873,-3659
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-01-09,51626,82799,515526,-31173
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-01-16,46821,87291,547287,-40470
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-01-23,41196,93625,566127,-52429
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-01-30,39203,95274,563983,-56071
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-02-06,44124,97632,578099,-53508
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-02-13,46276,105393,597172,-59117
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-02-20,52836,107709,598616,-54873
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-02-27,47797,120557,540992,-72760
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-03-05,52002,121780,540921,-69778
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-03-12,47627,118452,535541,-70825
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-03-19,53643,113675,549577,-60032
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-03-26,56205,102541,544389,-46336
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-04-02,54411,110836,558695,-56425
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-04-09,48750,93689,547271,-44939
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-04-16,57074,95531,545075,-38457
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-04-23,76873,89755,543681,-12882
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-04-30,86714,80448,498943,6266
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-05-07,91946,48527,526380,43419
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-05-14,105038,49531,534529,55507
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-05-21,107298,50749,529615,56549
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-05-28,119148,44334,536628,74814
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-06-04,105847,46463,541468,59384
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-06-11,95763,40801,546457,54962
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-06-18,102908,38796,584411,64112
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-06-25,102988,47804,542155,55184
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-07-02,103709,57522,549691,46187
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-07-09,96851,61474,579533,35377
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-07-16,82674,80026,596222,2648
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-07-23,75260,83048,595364,-7788
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-07-30,78407,70347,565024,8060
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-08-06,76824,63440,573801,13384
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-08-13,62145,86496,602441,-24351
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-08-20,64039,89505,594491,-25466
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-08-27,64659,87849,575331,-23190
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-09-03,71375,78027,569863,-6652
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-09-10,72682,71412,565319,1270
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-09-17,76976,72044,574487,4932
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-09-24,90229,64548,574726,25681
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-10-01,118977,53191,604338,65786
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-10-08,113345,55787,614746,57558
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-10-15,94436,75330,628963,19106
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-10-22,95838,70585,643667,25253
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-10-29,81747,95522,661109,-13775
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-11-05,79749,107970,669242,-28221
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-11-12,81122,118918,710592,-37796
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-11-19,75351,142338,715690,-66987
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-11-26,67543,150001,656787,-82458
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-12-03,68569,147443,669155,-78874
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-12-10,72002,145813,684821,-73811
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-12-17,66270,156709,714466,-90439
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-12-24,57083,152813,687531,-95730
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2024-12-31,61911,127284,631459,-65373
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-01-07,47480,114646,607004,-67166
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-01-14,39676,110261,628503,-70585
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-01-21,42419,109592,640584,-67173
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-01-28,39681,109072,646501,-69391
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-02-04,46386,89960,670067,-43574
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-02-11,47190,100154,653163,-52964
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-02-18,48801,108163,657949,-59362
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-02-25,49378,115853,595196,-66475
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-03-04,48964,138479,610469,-89515
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-03-11,50749,125142,608053,-74393
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-03-18,53974,116124,614473,-62150
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-03-25,48173,130122,631676,-81949
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-04-01,49437,142050,661628,-92613
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-04-08,53293,142726,694034,-89433
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-04-15,53558,118012,674594,-64454
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-04-22,52529,124759,675571,-72230
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-04-29,53867,146500,607415,-92633
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-05-06,58502,153798,633063,-95296
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-05-13,65077,155862,649674,-90785
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-05-20,62795,160331,663735,-97536
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-05-27,69066,152158,657435,-83092
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-06-03,66273,156156,668904,-89883
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-06-10,66065,146018,671097,-79953
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-06-17,58763,165078,722654,-106315
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-06-24,59658,165536,683238,-105878
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-07-01,64218,186429,703343,-122211
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-07-08,62236,183647,725780,-121411
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-07-15,73975,191285,755740,-117310
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-07-22,75932,184946,761462,-109014
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-07-29,70594,190440,740724,-119846
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-08-05,68317,180646,752333,-112329
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-08-12,66470,152841,758571,-86371
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-08-19,73255,140237,755353,-66982
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-08-26,77354,122421,677277,-45067
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-09-02,68723,145671,669416,-76948
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-09-09,80433,143242,694257,-62809
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-09-16,77309,141299,713726,-63990
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-09-23,75350,158126,749986,-82776
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-09-30,87050,168579,736103,-81529
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-10-07,89230,167820,762418,-78590
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-10-14,87473,176642,784543,-89169
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-10-21,93045,155312,785769,-62267
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-10-28,94950,123793,752450,-28843
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-11-04,98463,102638,737671,-4175
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-11-10,99530,94697,732474,4833
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-11-18,106162,77010,728358,29152
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-11-25,100820,74757,655968,26063
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-12-02,95593,75483,650587,20110
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-12-09,75669,82010,646372,-6341
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-12-16,75571,93230,635524,-17659
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-12-23,72165,94652,613388,-22487
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2025-12-30,75272,98547,545507,-23275
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2026-01-06,71613,100475,551228,-28862
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2026-01-13,80395,95146,581407,-14751
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2026-01-20,79924,111954,599203,-32030
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2026-01-27,87571,101769,600273,-14198
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2026-02-03,85768,93512,613292,-7744
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2026-02-10,83496,85658,600880,-2162
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2026-02-17,82542,79308,598663,3234
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2026-02-24,98877,66808,556917,32069
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2026-03-03,110036,63889,584419,46147
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2026-03-10,116595,52224,595072,64371
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2026-03-17,120120,60363,605483,59757
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2026-03-24,130315,46943,648304,83372
SOYBEAN MEAL - CHICAGO BOARD OF TRADE,2026-03-31,126096,48769,659166,77327
SOYBEAN OIL - CHICAGO BOARD OF TRADE,2006-01-03,15790,37819,195952,-22029
SOYBEAN OIL - CHICAGO BOARD OF TRADE,2006-01-10,18885,29112,189591,-10227
SOYBEAN OIL - CHICAGO BOARD OF TRADE,2006-01-17,14831,34768,186945,-19937
SOYBEAN OIL - CHICAGO BOARD OF TRADE,2006-01-24,15906,40647,197350,-24741
SOYBEAN OIL - CHICAGO BOARD OF TRADE,2006-01-31,17641,37733,205164,-20092
SOYBEAN OIL - CHICAGO BOARD OF TRADE,2006-02-07,18349,31676,208824,-13327
SOYBEAN OIL - CHICAGO BOARD OF TRADE,2006-02-14,17547,30678,206834,-13131
SOYBEAN OIL - CHICAGO BOARD OF TRADE,2006-02-21,23076,24913,208426,-1837
SOYBEAN OIL - CHICAGO BOARD OF TRADE,2006-02-28,22455,20381,199520,2074
SOYBEAN OIL - CHICAGO BOARD OF TRADE,2006-03-07,36948,16901,219805,20047
SOYBEAN OIL - CHICAGO BOARD OF TRADE,2006-03-14,40520,17402,221938,23118
SOYBEAN OIL - CHICAGO BOARD OF TRADE,2006-03-21,32182,16962,215407,15220
